locus	gene_name	gene_function	gene_product	synonyms	regulon	operon	sigma_factor	regulator	regulatory_mechanism	regulation_sign	metabolite	metabolite_sign	annotation
BSU30870	ytcB	unknown	putative UDP-glucose epimerase	ytcB	SigK|		sigK|						putative UDP-glucose epimerase
BSU18290	yngL	unknown	unknown	yngL									putative integral inner membrane protein
new_1748711_1749895_c	S601	The antisense RNA of yqbD	independent transcript	S601
BSU24080	bcd	utilization of branched-chain keto acids	"valine dehydrogenase, isoleucine dehydrogenase, L-leucine dehydrogenase"	bcd|bkd|yqiT	SacT|CodY|	ptb-bcd-buk-lpdV-bkdAABB	sigL|	CodY|BkdR|TnrA|	TF+M|TF+M|TF+P+M|	-1|1|-1|	GTP isoleucine valine|isoleucine valine|Glutamine|	1 1 1|1 1|-1|	branched-chain amino acid dehydrogenase
BSU28120	hemL	heme biosynthesis	glutamate-1-semialdehyde aminotransferase	hemL|hemK	SigA|	hemAXCDBL	sigA|	PerR|	TF+S|	-1|	Hydrogen_peroxide::stress|	-1|	"glutamate-1-semialdehyde 2,1-aminotransferase"
BSU09870	khtS	control of potassium ion efflux	modulator of [[protein|9A54C82323BA9220CAA6041E3745FAB9E222FE78]] activity	khtS|yhaS			sigE|						K+/H+ antiporter for K+ efflux
new_1430539_1430623	S489		5'UTR of spo0E	S489
BSU33970	araR	regulation of arabinose utilization	"transcriptional repressor (GntR family, [SW|LacI family])"	araR|araC|yvbS	AraR|	araR	sigA|	AraR|CcpA|	TF+M|TF+PP+M|	-1|NaN|	"Arabinose|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	-1|1 1|	transcriptional repressor of the ara regulon (LacI family)
BSU13640	spo0E	initiation of sporulation	Spo0A-P phosphatase	spo0E	AbrB|	spo0E	sigB|sigA|	Rok|AbrB|	TF|TF|	-1|-1|	 @| @|	nan|nan|	negative regulatory phosphatase acting on Spo0A-P (sporulation)
BSU34620	mdxD	starch and maltodextrin utilization	"glucan 1,4-alpha-maltohydrolase, neopullulanase, maltogenic amylase"	yvdF		Op172	sigK|sigE|	*MdxR*|	silico-TF+M|	NaN|	unk|	nan|	maltogenic alpha-amylase (homolog of)
BSU15660	yloC	unknown	unknown	yloC	CodY|SigF|								conserved hypothetical protein
BSU36530	bcrC	"cell wall synthesis, resistance to bacitracin and oxidative stress"	undecaprenyl pyrophosphate phosphatase	bcrC|ywoA	SigX|	ywoA	sigX|sigW|sigM|sigI|						undecaprenyl pyrophosphate phosphatase
BSU15820	rpmB	translation	ribosomal protein L28	rpmB|yloT	stringent response|			stringent response|	Nan|	-1|	NaN|	nan|	ribosomal protein L28
BSU02640	tatCD	TAT protein secretion	component of the twin-arginine translocation pathway	tatCD|ycbT	PhoP|			PhoP|	TF-TC|	1|	phosphate|	-1|	component of the twin-arginine pre-protein translocation pathway
BSU35050	yvnA	unknown	unknown	yvnA	AbrB|			CcpA|AbrB|	TF+PP+M|TF|	-1|-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate| @|"	1 1|nan|	putative transcriptional regulator
BSU15480	pyrP	uracil transport in/out via proton symport	uracil permease	pyrP	PyrR|	pyrRPBCAAABKDFE	sigA|	PyrR|PurR|	P-AT+M|TF+M|	1|-1|	UTP PRPP UMP|PRPP|	1 -1 1|-1|	uracil permease
new_3510491_3510596_c	S1308		5'UTR of lutR	S1308
BSU01660	ybbD	cell wall recycling	N-acetylglucosaminidase	nagZ|yzbA|ybbD				CodY|*MurR*|	TF+M|silico-TF+M|	NaN|NaN|	GTP isoleucine valine|N-acetylmuramate-6-phosphate|	1 1 1|-1|	"putative beta-hexosaminidase, putative lipoprotein"
BSU18819	yozU	unknown	unknown	yozU									putative phage protein
BSU37990	ywdE	unknown	unknown	ywdE|ipa-55d									putative integral inner membrane protein
new_1265432_1265529	S433		intergenic region	S433
new_2845839_2845914_c	S1056		5'UTR of safA	S1056
new_2100447_2100579	S744		5'UTR of dhaS	S744
new_3766640_3766713_c	S1412		intergenic region	S1412
BSU38350	ywbE	unknown	unknown	ywbE|ipa-20r	AbrB|								conserved hypothetical protein
BSU02840	ycdG	unknown	unknown	ycdG	SigE|SigB|		sigB|						putative glycosidase
BSU39040	yxiS	survival of stress conditions	unknown	yxiS	SigB|	katE-yxiS	sigB|						hypothetical protein
BSU29580	thiI	biosynthesis of 4-thiouridine in tRNA	sulfuryl transferase	thiI|ytbJ				CodY|	TF+M|	NaN|	GTP isoleucine valine|	1 1 1|	persulfide ATP pyrophosphatase involved in thiamine biosynthesis and tRNA modification
BSU38740	cydC	required for expression of cytochrome bd	ABC transporter  (ATP-binding protein)	cydC|yxkM	SpoIIID|CcpA|	cydABCD	sigA|	Rex|ResD|CcpA|	TF+M|TF-TC|TF+PP+M|	-1|1|-1|	"NADH NAD|Menaquinone|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|1|1 1|	ABC membrane transporter (ATP-binding protein) required for cytochrome bd function
BSU14490	kinC	initiation of sporulation	two-component sensor kinase	kinC	SigA|	kinC	sigA|	Spo0A|	TF+PP|	1|	nan|	nan|	two-component sensor histidine kinase
BSU11510	yjbE	unknown	unknown	yjbE		yjbE	sigE|	SpoIIID|	TF|	-1|	nan|	nan|	putative transporter component
BSU27330	udk	UMP synthesis	uridine kinase	udk		Op130							uridine kinase
BSU10210	yhfF	unknown	unknown	yhfF									conserved hypothetical protein
BSU29850	ytoQ	unknown	unknown	ytoQ									putative enzyme with sugar binding fold
BSU27880	nifS	NAD biosynthesis	cysteine desulfurase	nifS|iscS	NadR|	nifS-yrxA	sigA|	nadR|	TF+M|	-1|	Niacin|	1|	putative desulfurase involved in iron-sulfur clusters for NAD biosynthesis
BSU20720	yopY	unknown	unknown	yopY									"conserved hypothetical protein, phage SPbeta"
new_1781074_1781165_c	S613		5'UTR of [[gene|C07A977504BA6F43C7E94355713E4F6AD3B81D96]]	S613
BSU35880	pgsA.1	capsular polyglutamate biosynthesis	gamma-polyglutamate transporter	capA|ywtB|pgsA				DegU|TnrA|	TF-TC|TF+P+M|	1|NaN|	unk|Glutamine|	-1|-1|	capsular polyglutamate synthetase
BSU07750	yflA	protection against paraquat stress	unknown	yflA	AbrB|	yflA	sigB|	AbrB|Abh|	TF|TF|	-1|-1|	 @| @|	nan|nan|	putative aminoacid transporter
BSU29380	tcyJ	cystine uptake	cystine ABC transporter (binding protein)	tcyJ|ytmJ	AscR|	ytmIJKLMNO-ytnIJ-ribR-ytnLM	sigA|	YtlI|CymR|Spx|	TF+M|TF+P+M|TF+S|	1|-1|-1|	unk|O-acetyl-L-serine|Thiol_specific_oxidative_stress::stress|	1|-1|1|	sulfur containing amino acid ABC transporter binding lipoprotein
BSU06076	ydzW.2	unknown	unknown	ydzW/3									"putative phosphomannomutase, internal part of YdzW"
new_1916003_1916622	S657	The antisense RNA of S987	intergenic region	S657
new_2896973_2897093_c	S1071		intergenic region	S1071
BSU35319	yvzG	control of swarming motility	adaptor protein for [[protein|FF15BE26BCC78EC1301C58A51AF0A519D7BE9ADC]]-mediated degradation of [[protein|5D479874B43F521DB52EDC2C27CDE4967F22DE47]]	smiA|yvzG									conserved hypothetical protein
BSU13340	ykoM	unknown	unknown	ykoM			sigH|	CcpA|	TF+PP+M|	NaN|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	putative transcriptional regulator (MarR family)
BSU07230	yetM	unknown	FAD-dependent monooxygenase	yetM	YetL|			YetL|	TF+M|	-1|	Flavonoids::stress|	-1|	putative hydroxylase/monooxygenase
new_697399_697485	S230		5'UTR of yebE	S230
BSU15130	mraZ	unknown	unknown	mraZ|yllB									putative protein involved in cell division or replication
BSU33110	liaG	unknown	unknown	liaG|yvqG	SigK|SigA|LiaR|	yvqIHGFEC	sigA|	LiaR|AbrB|	TF-TC|TF|	1|-1|	Bacitracin::stress| @|	1|nan|	conserved hypothetical protein (response to antibiotic stress)
new_3882656_3882766_c	S1462		5'UTR of sivA	S1462
BSU32950	yusW	unknown	unknown	yusW			sigF|						putative lipoprotein
BSU36600	mta	regulation of multidrug-efflux transporter genes	transcriptional activator ([SW|MerR family])	mta|ywnD	Mta|	mta	sigA|	Mta|	TF+M|	1|	unk|	nan|	transcriptional regulator (MerR family)
BSU07240	yetN	unknown	unknown	yetN									conserved hypothetical protein
BSU08340	padR	regulation of the phenolic acid stress response	transcriptional repressor	padR|yfiO									transcriptional regulator
new_3621540_3621617_c	S1344		intergenic region	S1344
BSU16799	ylzJ	control of TepA activity	germination protein	ylzJ	SigG|		sigG|						conserved hypothetical protein
BSU29190	pfkA	catabolic enzyme in glycolysis	6-phosphofructokinase	pfkA|pfk		Op1							6-phosphofructokinase
BSU38990	scoA	3-hydroxybutyrate utilization	succinyl CoA:3-oxoacid CoA-transferase (subunit A)	scoA|yxjD	CcpA|	yxjC-scoAB-yxjF	sigE|	CcpA|SpoIIID|	TF+PP+M|TF|	-1|-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|nan|"	1 1|nan|	succinyl CoA:3-oxoacid CoA-transferase (subunit A)
BSU09680	nhaC	pH homeostasis	Na /H  antiporter	nhaC|yheL	NhaX|								Na+/H+ antiporter
new_2098025_2098315_c	S737	The antisense RNA of S995	intergenic region	S737
BSU25370	yqfB	resistance against sublancin	resistence protein (against sublancin)	yqfB	SigW|	yqeZ-yqfA-yqfB	sigW|						conserved hypothetical protein
new_2076113_2076205	S725		5'UTR of yobO	S725
BSU22500	ypjD	unknown	putative pyrophosphatase	ypjD|jojD	SigA|								nucleotide phosphohydrolase
new_646220_646409	S205	The antisense RNA of bltR	5'UTR of ydiG	S205
BSU08980	yhbH	[[category|SW 4.2]]	unknown	yhbH|yzdC	SigE|	yhbH	sigE|	PhoP|SpoIIID|	TF-TC|TF|	1|-1|	phosphate|nan|	-1|nan|	factor involved in shape determination (sporulation)
BSU17630	yncC	unknown	unknown	yncC									putative sugar transporter
new_3882015_3882097_c	S1461		5'UTR of rocG	S1461
BSU14520	adeC	"utilization of adenine as nitrogen source,purine salvage and interconversion"	adenine deaminase	adeC|ade|yzaD		ade		CodY|	TF+M|	NaN|	GTP isoleucine valine|	1 1 1|	adenine deaminase
BSU38960	yxjG	unknown	putative methionine synthase	yxjG	CitB|S-box|			S-box-SAM|	riboswitch|	-1|	S-adenosyl-L-methionine|	-1|	putative methyltetrahydrofolate methyltransferase
BSU17050	mutL	DNA repair	"DNA mismatch repair protein, sequence-unspecific endonuclease"	mutL									DNA mismatch repair factor
new_3813064_3813166_c	S1442		5'UTR of rpoE	S1442
BSU03290	nasE	utilization of nitrite as nitrogen source	assimilatory nitrite reductase (subunit)	nasE|nasBD|nirD	CggR|Fur|	nasBCDEF	sigA|	TnrA|ResD|NsrR|Fur|ArfM|CodY|	TF+P+M|TF-TC|TF+M|TF+M|TF|TF+M|	1|1|-1|-1|1|NaN|	Glutamine|Menaquinone|Nitricoxide|Iron| @|GTP isoleucine valine|	-1|1|-1|1|nan|1 1 1|	assimilatory nitrite reductase subunit
new_928080_928314	S290	The antisense RNA of S999	intergenic region	S290
BSU02760	natB	sodium export	Na<sup>+</sup> ABC transporter (export) (ATP-binding protein)	natB	NatR|			NatR|	TF-TC|	1|	Sodium::extracellular|	1|	Na+ ABC efflux transporter (permease)
BSU12460	xlyB	PBSX prophage-mediated lysis	N-acetylmuramoyl-L-alanine amidase	xlyB|yjpB									"N-acetylmuramoyl-L-alanine amidase, bacteriophage PBSX protein"
new_1738824_1738940	S594		5'UTR of rpsO	S594
BSU03110	ycgH	unknown	unknown	ycgH									putative amino acid transporter
BSU15420	divIVA	"division site selection, chromosome segregation and control of peptidoglycan homeostasis"	"cell division initiation protein, member of the [SW|divisome]"	divIVA|ylmJ	Spo0A|			Spo0A|	TF+PP|	-1|	nan|	nan|	cell-division initiation protein
BSU06100	ydiS	BsuM DNA restriction	unknown	ydiS									DNA restriction enzyme component
BSU00470	purR	regulation of purine biosynthesis	transcription repressor of the <i>pur </i>operon	purR|yabI	PurR|	purR-yabJ		PurR|	TF+M|	-1|	PRPP|	-1|	transcriptional regulator of the purine biosynthesis operon
BSU19670	yodN	unknown	unknown	yodN			sigK|sigE|						conserved hypothetical protein
BSU11079	yizB	unknown	unknown	yizB									putative DNA/RNA binding protein
BSU22320	ponA	bifunctional glucosyltransferase/ transpeptidase	"penicillin-binding protein 1A/1B, member of the [SW|divisome]"	ponA	SigA|		sigM|						peptidoglycan glycosyltransferase (penicillin-binding proteins 1A and 1B)
BSU31480	yuxJ	unknown	unknown	yuxJ|yugC				CodY|	TF+M|	NaN|	GTP isoleucine valine|	1 1 1|	putative exporter
BSU29370	tcyK	cystine uptake	cystine ABC transporter (binding protein)	tcyK|ytmK	AscR|	ytmIJKLMNO-ytnIJ-ribR-ytnLM	sigA|	YtlI|CymR|Spx|	TF+M|TF+P+M|TF+S|	1|-1|-1|	unk|O-acetyl-L-serine|Thiol_specific_oxidative_stress::stress|	1|-1|1|	sulfur-containing amino acid ABC transporter binding lipoprotein
BSU14250	yknT	protection of the spore	spore coat protein	yknT|cse15	SpoIIID|	yknT	sigE|	SpoIIID|	TF|	1|	nan|	nan|	hypothetical protein
BSU09630	yhdX	unknown	unknown	yhdX									conserved hypothetical protein
BSU36890	upp	UMP synthesis	uracil phosphoribosyltransferase	upp|ipc-35d		upp							uracil phosphoribosyltransferase
new_4065982_4066068_c	S1522		5'UTR of yxeF	S1522
BSU26800	yrpB	unknown	unknown	yrpB				GltR|	unk|	NaN|	unk|	-1|	putative anionic nitroalkane dioxygenase
new_1533940_1534049	S533		5' of Sr1	S533
BSU31290	yugT	unknown	unknown	yugT	spxA|		sigE|	Spx|	TF+S|	1|	Thiol_specific_oxidative_stress::stress|	1|	"putative oligo-1,6-glucosidase"
BSU34710	yvcQ	resistance against toxic peptides	two-component sensor kinase	psdS|yvcQ									two-component sensor histidine kinase [YvcP]
BSU26749	yrdD.1	unknown	unknown	yrdD/2									"hypothetical protein, internal part of YrdD"
BSU26740	cypA	unknown	cytochrome P450-like enzyme	cypA|yrdE			sigE|	GerR|	TF|	-1|	 @|	nan|	cytochrome P450
new_2989566_2989649_c	S1106		5'UTR of accD	S1106
new_1023253_1023349	S329		5'UTR of bcaP	S329
new_1266349_1266589	S434		5'UTR of yjcP	S434
BSU06970	yesO	uptake of rhamnose oligosaccharides	rhamnose oligosaccharide ABC transporter	rhiL|yesO				YesS|CcpA|	TF+P+unk|TF+PP+M|	NaN|NaN|	"unk|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	nan|1 1|	pectin degradation byproducts-binding lipoprotein
BSU39880	yxbC	unknown	unknown	yxbC|yxaQ	AbrB|	yxbCD		Spo0A|CodY|AbrB|	TF+PP|TF+M|TF|	1|-1|-1|	nan|GTP isoleucine valine| @|	nan|1 1 1|nan|	conserved hypothetical protein
BSU31920	yukF	control of [[gene|2D346CF412BA32EE18111DA930CFA1306F95024B]] expression	transcription activator ([SW|PucR family])	adeR|yukF									putative transcriptional regulator
BSU12090	cotT	resistance of the spore	spore coat protein (inner)	cotT	SpoIIID|	cotT	sigK|sigE|	SpoIIID|	TF|	1|	nan|	nan|	spore coat protein (inner coat)
BSU26259	yqzO	unknown	unknown	yqzO	SknR|			SknR|	TF|	-1|	nan|	nan|	"hypothetical protein, skin element"
new_4172910_4173113	S1564		5'UTR of yybN	S1564
BSU14090	ykuI	unknown	c-di-GMP binding protein	ykuI									conserved hypothetical protein
BSU36800	atpC	ATP synthesis	ATP synthase (subunit epsilon)	atpC	stringent response|	Op32		stringent response|	Nan|	-1|	NaN|	nan|	"ATP synthase (subunit epsilon, F1 subunit)"
BSU18640	yoaK	unknown	unknown	yoaK									putative membrane protein
BSU08860	ssuD	sulfonate reduction	aliphatic sulfonate monooxygenase	ssuD|ygcA|yzeC	Xpf|CymR|	ssuBACD-ygaN	sigA|	CymR|Spx|	TF+P+M|TF+S|	-1|-1|	O-acetyl-L-serine|Thiol_specific_oxidative_stress::stress|	-1|1|	FMNH2-dependent aliphatic sulfonate monooxygenase
BSU07970	yfjT	unknown	unknown	yfjT									conserved hypothetical protein
BSU18440	gltB	glutamate biosynthesis	glutamate synthase (small subunit)	gltB	Fur|	gltAB	sigA|	TnrA|GltC|Fsra|GltC2|GltC1|GltC0|	TF+P+M|TF+M|small regulatory RNA|TF+M|TF+M|TF+M|	-1|1|-1|-1|1|1|	Glutamine| 2-Oxoglutarate Glutamate| @|Glutamate| 2-Oxoglutarate Glutamate|Glutamate|	-1|1 -1|nan|-1|1 -1|-1|	glutamate synthase (small subunit)
BSU20870	yopJ	unknown	unknown	yopJ									"putative nucleotide binding protein, phage SPbeta"
BSU05230	ydeK	unknown	unknown	ydeK				*YhdI/YdeL*|	silico-TF+unk|	NaN|	unk|	nan|	putative permease
BSU07110	lplB	unknown	unknown	lplB				CcpA|	TF+PP+M|	NaN|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	putative ABC transporter (permease)
BSU29249	ytzJ	unknown	unknown	ytzJ									conserved hypothetical protein
BSU27570	yrzK	unknown	unknown	yrzK			sigG|sigF|						hypothetical protein
new_938656_938730	S299		5'UTR of ygaC	S299
new_603941_604102	S196		intergenic region	S196
new_1925453_1925538_c	S664		5'UTR of yneK	S664
BSU00060	gyrB	"DNA supercoiling, control of [[category|SW 3.1.1|replication]] initiation"	DNA gyrase (subunit B)	gyrB|novA	SigA|	yaaA-recF-yaaB-gyrB	sigA|						DNA gyrase (subunit B)
new_3609903_3610036_c	S1341		intergenic region	S1341
BSU25640	nadD	NAD biosynthesis	nicotinamide-nucleotide adenylyltransferase	nadD|yqeJ									nicotinate-nucleotide adenylyltransferase
BSU28380	gerM	germination (cortex hydrolysis) and sporulation	[[protein|3282D2C25468776881778006F182FCF322C4821D]] recruitment factor	gerM	SigD|SpoIIID|	gerM	sigE|	SpoIIID|	TF|	-1|	nan|	nan|	"germination (cortex hydrolysis) and sporulation (stage II, multiple polar septa) lytic enzyme"
BSU08240	catE	detoxification of catechol	"catechol 2,3-dioxygenase"	catE|yfiE	Fur|			YodB|CatR|	TF+S|TF+S|	-1|-1|	Quinone::stress|Quinone::stress|	-1|-1|	"catechol-2,3-dioxygenase subunit"
BSU07770	yfkS	"germination, survival of of stress conditions"	D protein for the [[protein|7CE0CAF27B1C0F507E783B8B80622270B00634FD]]-[[protein|B7EEC1910715507596734540D24B3C93B4B7065F]]-[[protein|7A62875A659B9F0967C392F38895D9E15A29D559]] germinant receptor	yfkS	SigA|SigG|		sigB|						hypothetical protein
BSU39730	iolD	myo-inositol catabolism	formation of 5-deoxy-D-glucuronic acid (3rd reaction)	iolD|yxdD	CcpA|	mmsA-iolBCDEF-idh-iolHI-fbaB	sigA|	IolR|CcpA|	TF+M|TF+PP+M|	-1|-1|	"2-deoxy-5-keto-D-gluconic-acid-6-phosphate|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	-1|1 1|	"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase"
BSU10850	yisS	utilization of scyllo-inositol	scyllo-inositol 2-dehydrogenase	iolX|yuxD|yucG|yisS				*degA*|	silico-TF+M|	NaN|	unk|	-1|	putative dehydrogenase
new_3630836_3630916_c	S1349		5'UTR of secA	S1349
BSU36010	alsS	overflow metabolism	acetolactate synthase	alsS	AseR|stringent response|	alsSD	sigA|	stringent response|Rex|AlsR|CcpA|ArfM|	Nan|TF+M|TF+M|TF+PP+M|TF|	1|-1|1|1|1|	"NaN|NADH NAD|acetate|D-fructose-1,6-bisphosphate Glucose-6-Phosphate| @|"	nan|1 1|1|1 1|nan|	alpha-acetolactate synthase
BSU34450	sacB	"utilization of sucrose, production of levan"	levansucrase	sacB	SacY|	sacB-yveBA	sigA|	SacY|DegU|TenA|SacT|	P-AT+PTS|TF-TC|unk|P-AT+PTS|	1|1|1|1|	Sucrose|unk|unk|Sucrose|	1|-1|-1|1|	levansucrase
BSU31610	mrpB	sodium export	Na<sup>+</sup>/H<sup>+</sup> antiporter subunit	mrpB|yufU									Na+/H+ antiporter complex
BSU06710	swrC	unknown	unknown	swrC|yerP									transporter involved in surfactin self-resistance
BSU36750	spoIID	dissolution of the septal cell wall	lytic transglycosylase	spoIID|spoIIC	SigA|SpoIIID|	spoIID	sigE|	SpoIIID|	TF|	-1|	nan|	nan|	autolysin required for complete dissolution of the asymmetric septum (stage II sporulation)
new_1150428_1150514_c	S380		5'UTR of gerPA	S380
BSU24490	yqhQ	survival of stress conditions	unknown	yqhQ	SigF|	yqhQP	sigF|sigB|						conserved hypothetical protein
BSU00780	folB	biosynthesis of folate	dihydroneopterin aldolase	folB|folA|yacE	SigA|	pabBAC-sul-folBK-yazB-yacF-lysS	sigA|	TRAP|	RNA-BAP|	-1|	Tryptophan|	1|	dihydroneopterin aldolase
BSU39740	iolC	myo-inositol catabolism	formation of 2-deoxy-5-keto-gluconic acid-6-phosphate (5th reaction)	iolC|yxdC	SigA|CcpA|	mmsA-iolBCDEF-idh-iolHI-fbaB	sigA|	IolR|CcpA|	TF+M|TF+PP+M|	-1|-1|	"2-deoxy-5-keto-D-gluconic-acid-6-phosphate|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	-1|1 1|	2-deoxy-5-keto-D-gluconic acid kinase
new_3264537_3264677_c	S1222		intergenic region	S1222
new_2989651_2989803_c	S1107		intergenic region	S1107
BSU26370	yqaC	unknown	unknown	yqaC									"putative kinase, skin element"
new_3465665_3466067_c	S1294	The antisense RNA of levD	3'UTR of sdpI	S1294
BSU27980	spoIVFA	control of SigK activation	inhibitor of [[protein|8801B095C2CE36F3E0B9DBBF489FFB217087DC0A]] metalloprotease	spoIVFA|bofB|spoVL	SpoIIID|		sigE|	SpoIIID|	TF|	-1|	nan|	nan|	regulator of SpoIVFB (stage IV sporulation)
new_2055241_2055358_c	S710		5'UTR of xynA	S710
BSU00090	guaB	biosynthesis of GMP	IMP dehydrogenase	guaB|guaA	SigA|CodY|	guaB		CodY|	TF+M|	1|	GTP isoleucine valine|	1 1 1|	inosine-monophosphate dehydrogenase
new_2560260_2560488_c	S926		3'UTR of corA	S926
BSU35940	rbsA	ribose uptake	ribose ABC transporter (ATP-binding protein)	rbsA	AbrB|	rbsRKDACB	sigA|	CcpA|AbrB|*RbsR*|	TF+PP+M|TF|silico-TF+M|	-1|1|NaN|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate| @|ribose|"	1 1|nan|-1|	ribose ABC transporter (ATP-binding protein)
BSU26270	yqaL	unknown	unknown	yqaL	SknR|			SknR|	TF|	-1|	nan|	nan|	"putative DNA-binding protein, skin element"
BSU40420	purA	purine biosynthesis	adenylosuccinate synthetase	purA	SigE|PurR|	purA	sigA|	PurR|YabJ|	TF+M|TF+M|	-1|1|	PRPP|PRPP|	-1|-1|	adenylosuccinate synthetase
new_2479090_2479155	S904		5'UTR of zwf	S904
new_512754_512813	S159		5'UTR of ydbS	S159
BSU11950	yjcQ	unknown	unknown	yjcQ	SigD|	yjcPQ	sigD|						conserved hypothetical protein
BSU30480	ytqA	unknown	unknown	ytqA									putative Fe-S oxidoreductase
new_3072180_3072285	S1150		5'UTR of ytzE	S1150
BSU37300	ywiC	unknown	unknown	ywiC									putative integral inner membrane protein
new_1164254_1164369	S390		5'UTR of iolX	S390
new_2983096_2984281_c	S1102	The antisense RNA of S1023	intergenic region	S1102
new_1351139_1351236_c	S459		5'UTR of ykaA	S459
